Date,Open_HCLTECH,High_HCLTECH,Low_HCLTECH,Close_HCLTECH,Adj_Close_HCLTECH,Volume_HCLTECH,Open_INFY,High_INFY,Low_INFY,Close_INFY,Adj_Close_INFY,Volume_INFY,Open_TCS,High_TCS,Low_TCS,Close_TCS,Adj_Close_TCS,Volume_TCS,Open_TECHM,High_TECHM,Low_TECHM,Close_TECHM,Adj_Close_TECHM,Volume_TECHM,Open_WIPRO,High_WIPRO,Low_WIPRO,Close_WIPRO,Adj_Close_WIPRO,Volume_WIPRO
2010-01-04,93.5625,93.75,92.0124969482422,92.7750015258789,67.94441986083984,1632148,326.25,328.75,324.4125061035156,326.57501220703125,237.10296630859372,4069264.0,377.3999938964844,379.4500122070313,374.5249938964844,375.8250122070313,297.4325256347656,1963682.0,249.1999969482422,258.25,248.0,255.75,195.32086181640625,1268756.0,154.125,156.82501220703125,152.08876037597656,156.10501098632812,136.39956665039062,3409626.0
2010-01-05,93.125,95.25,92.6374969482422,94.8625030517578,69.47321319580078,5037896,327.5,328.8374938964844,325.01251220703125,327.66876220703125,237.89700317382807,6895528.0,377.5,379.7749938964844,373.2749938964844,375.9249877929688,297.511474609375,2014488.0,258.5,263.0,257.2749938964844,259.0249938964844,197.82205200195312,1706608.0,156.66751098632812,159.3000030517578,156.0487518310547,158.56875610351562,138.5523223876953,4979701.0
2010-01-06,95.0250015258789,95.7249984741211,91.25,92.0,67.37682342529297,3992320,335.375,335.375,321.88751220703125,322.88751220703125,234.4257354736328,6817288.0,375.9249877929688,376.1000061035156,366.5,367.4249877929688,290.7845764160156,3349176.0,258.54998779296875,262.25,257.9375,260.29998779296875,198.7957763671875,840360.0,158.85000610351562,159.75,154.57501220703125,155.3625030517578,135.75083923339844,4575030.0
2010-01-07,92.9749984741211,92.9749984741211,89.80000305175781,90.0374984741211,65.93958282470703,3665940,323.32501220703125,323.32501220703125,314.7749938964844,315.6312561035156,229.157470703125,10892600.0,367.75,369.7000122070313,355.5,357.20001220703125,282.6923522949219,6474892.0,260.75,261.25,252.4875030517578,254.5749969482422,194.4234771728516,734988.0,156.375,156.4875030517578,151.875,152.60626220703125,133.34249877929688,4582648.0
2010-01-08,90.75,90.75,87.3125,87.9375,64.40160369873047,6241492,314.875,315.4125061035156,307.25,308.0249938964844,223.6351318359375,12649312.0,358.0,359.25,348.25,349.8999938964844,276.9150390625,6048178.0,254.5,263.20001220703125,252.5249938964844,261.2749938964844,199.5404052734375,2080960.0,152.77500915527344,153.0,149.85000610351562,150.31126403808594,131.3372039794922,2856839.0
2010-01-11,87.94999694824219,90.375,87.94999694824219,88.8125,65.04246520996094,5742332,309.38751220703125,313.0874938964844,309.25,311.20623779296875,225.9448089599609,7849656.0,352.0,360.04998779296875,350.20001220703125,357.1000061035156,282.61328125,4318408.0,262.5,266.17498779296875,258.0249938964844,259.625,198.2802581787109,1319720.0,150.07501220703125,153.2475128173828,147.65625,148.81500244140625,130.02980041503906,5677888.0
2010-01-12,89.25,93.4499969482422,88.75,91.9625015258789,67.349365234375,9051468,312.5,324.25,312.5,323.3687438964844,234.77511596679688,24859680.0,366.0,377.0,363.5,375.0249938964844,296.7992858886719,9027690.0,262.25,265.9750061035156,260.0,261.38751220703125,199.62635803222656,1315112.0,151.20001220703125,158.35501098632812,151.20001220703125,156.10501098632812,136.39956665039062,10394906.0
2010-01-13,91.9625015258789,94.75,90.0250015258789,94.4875030517578,69.19857025146484,8064504,309.60626220703125,336.875,309.60626220703125,335.4375,243.5374298095703,19704040.0,372.5,398.2000122070313,372.3250122070313,394.2749938964844,312.03387451171875,10910272.0,258.75,272.73748779296875,257.5,271.7749938964844,207.55946350097656,2910448.0,156.81375122070312,162.00001525878906,154.90126037597656,161.010009765625,140.68539428710938,11283590.0
2010-01-14,94.9749984741211,95.9375,91.4000015258789,92.5250015258789,67.76132202148438,7763244,334.875,337.86248779296875,331.2749938964844,336.21875,244.1045837402344,8413904.0,399.2250061035156,399.2250061035156,384.6749877929688,389.9249877929688,308.5914001464844,10327614.0,276.0,276.0,267.75,270.36248779296875,206.4807281494141,1362068.0,161.9550018310547,169.35751342773438,159.34500122070312,166.7475128173828,145.6986541748047,19480194.0
2010-01-15,92.875,93.4749984741211,91.5374984741211,92.3499984741211,67.63313293457031,2749332,336.21875,336.5625,331.76873779296875,334.4750061035156,242.8385772705078,5049504.0,398.0,399.7999877929688,386.125,395.7000122070313,313.16168212890625,7945008.0,275.0,286.0,271.5,284.2875061035156,217.11546325683597,3870856.0,162.6750030517578,167.98500061035156,162.45001220703125,165.5775146484375,144.67636108398438,14677754.0
