Date,Open_GODREJPROP,High_GODREJPROP,Low_GODREJPROP,Close_GODREJPROP,Adj_Close_GODREJPROP,Volume_GODREJPROP,Open_MAHLIFE,High_MAHLIFE,Low_MAHLIFE,Close_MAHLIFE,Adj_Close_MAHLIFE,Volume_MAHLIFE,Open_PHOENIXLTD,High_PHOENIXLTD,Low_PHOENIXLTD,Close_PHOENIXLTD,Adj_Close_PHOENIXLTD,Volume_PHOENIXLTD,Open_SOBHA,High_SOBHA,Low_SOBHA,Close_SOBHA,Adj_Close_SOBHA,Volume_SOBHA,Open_SUNTECK,High_SUNTECK,Low_SUNTECK,Close_SUNTECK,Adj_Close_SUNTECK,Volume_SUNTECK
2010-01-05,237.6220245361328,272.8700866699219,233.50665283203125,249.82864379882807,239.71011352539065,18725211.0,106.51805114746094,108.37700653076172,105.356201171875,107.0137710571289,91.77022552490234,77175.0,99.375,103.75,98.3249969482422,102.7249984741211,92.1666259765625,559804.0,247.5,257.8999938964844,247.0,251.6999969482422,210.39454650878903,242994.0,275.5,280.0,257.5,258.67498779296875,246.7144470214844,107802.0
2010-01-06,249.7123870849609,254.176513671875,243.9229736328125,245.1552581787109,235.22601318359372,2516742.0,107.81932067871094,112.62161254882812,106.93631744384766,110.23595428466795,94.53340911865234,187018.0,104.6999969482422,111.25,104.0,107.5749969482422,96.51813507080078,1519282.0,254.0,256.0,249.0,251.8000030517578,210.4781494140625,156460.0,261.9750061035156,268.0,254.5,260.2250061035156,248.1927947998047,107798.0
2010-01-07,245.9922790527344,252.9209899902344,244.5972442626953,249.6658935546875,239.553955078125,1770747.0,110.66970825195312,115.87478637695312,109.98809814453124,110.4528350830078,94.71941375732422,305910.0,109.0,111.0,105.25,108.5999984741211,97.4377899169922,606038.0,253.6999969482422,278.29998779296875,249.3000030517578,272.8500061035156,228.07369995117188,1608616.0,261.0,267.0,259.2749938964844,261.6000061035156,249.50418090820312,97878.0
2010-01-08,247.85232543945312,250.2936553955078,240.48187255859372,241.9466552734375,232.1473693847656,506481.0,112.12589263916016,114.01583099365234,109.75572967529295,110.43733978271484,94.70610809326172,217193.0,110.4499969482422,110.75,107.625,108.0500030517578,96.9443359375,317398.0,274.70001220703125,278.3999938964844,266.0,275.04998779296875,229.91265869140625,472320.0,264.95001220703125,271.375,259.17498779296875,263.8999938964844,251.6978912353516,97760.0
2010-01-11,244.99249267578125,246.2015380859375,237.15701293945312,241.9466552734375,232.1473693847656,582055.0,112.90045928955078,112.90045928955078,107.8502960205078,108.33052825927734,92.89940643310548,247958.0,109.4000015258789,112.5,108.5,111.3000030517578,99.86028289794922,1048682.0,275.0,291.3999938964844,270.45001220703125,283.0,236.5580291748047,503444.0,265.7749938964844,279.0,260.7749938964844,264.04998779296875,251.8409118652344,110128.0
2010-01-12,242.03965759277344,243.87646484375,236.78500366210935,237.6452789306641,228.02020263671875,381934.0,108.12914276123048,109.98809814453124,105.34071350097656,105.82093811035156,90.74730682373048,108706.0,110.5,112.5,108.5,109.8499984741211,98.55931091308594,565200.0,283.0,291.0,277.0,282.8500061035156,236.4326629638672,516808.0,265.0,267.3999938964844,258.20001220703125,259.9750061035156,247.9543609619141,91650.0
2010-01-13,237.6452789306641,243.87646484375,233.6694183349609,240.71437072753903,230.9649810791016,460431.0,105.82093811035156,107.81932067871094,104.9069595336914,106.44058990478516,91.2786865234375,122539.0,109.6999969482422,109.6999969482422,106.5,107.3499984741211,96.3162841796875,168328.0,275.04998779296875,289.0,273.04998779296875,285.29998779296875,238.48052978515625,359923.0,264.0,264.0,250.0500030517578,258.79998779296875,246.8336639404297,109770.0
2010-01-14,242.7371826171875,243.5277099609375,237.15701293945312,238.8775634765625,229.20257568359372,153881.0,109.6782684326172,109.86416625976562,106.657470703125,107.2461395263672,91.96949768066406,62057.0,108.75,110.0,108.0250015258789,108.4000015258789,97.25836181640624,112390.0,287.45001220703125,307.79998779296875,282.6499938964844,287.3999938964844,240.23594665527344,1226454.0,264.8999938964844,264.8999938964844,255.0,255.6000061035156,243.78163146972656,119358.0
2010-01-15,238.0870513916016,240.412109375,237.01751708984372,237.25001525878903,227.6409454345703,162907.0,108.43896484375,113.1173324584961,107.29261016845705,109.83318328857422,94.1880340576172,281690.0,108.5,109.0,103.5999984741211,105.3249969482422,94.49939727783205,165700.0,290.0,308.5,290.0,303.70001220703125,253.8610076904297,964611.0,257.5,262.5,255.0249938964844,256.2250061035156,244.37777709960935,95496.0
2010-01-18,237.25001525878903,239.8540954589844,235.2969665527344,237.2965240478516,227.68556213378903,116392.0,109.98809814453124,113.93836975097656,109.7712173461914,110.4528350830078,94.71941375732422,254785.0,104.0,107.4499969482422,104.0,104.875,94.09566497802734,106840.0,305.5,316.0,298.25,313.79998779296875,262.303466796875,702867.0,257.0,271.70001220703125,256.0,267.5,255.1314239501953,123630.0
